state/ut,age-group,percentage
ANDAMAN & NICOBAR ISLANDS,15-19,28.747
ANDHRA PRADESH,15-19,12.981
ARUNACHAL PRADESH,15-19,47.589
ASSAM,20-24,21.066
BIHAR,15-19,2.918
CHANDIGARH,50-69,42.775
CHHATTISGARH,25-29,2.296
DADRA & NAGAR HAVELI,15-19,33.83
DAMAN & DIU,30-49,18.178
GOA,15-19,68.089
GUJARAT,15-19,23.987
HARYANA,15-19,7.319
HIMACHAL PRADESH,20-24,8.207
JAMMU & KASHMIR,20-24,29.58
JHARKHAND,20-24,7.375
KARNATAKA,20-24,17.577
KERALA,20-24,16.946
LAKSHADWEEP,20-24,25.991
MADHYA PRADESH,15-19,2.963
MAHARASHTRA,20-24,27.068
MANIPUR,25-29,31.663
MEGHALAYA,30-49,14.863
MIZORAM,30-49,7.42
NAGALAND,20-24,40.34
NCT OF DELHI,70+,14.999
ODISHA,15-19,22.31
PUDUCHERRY,20-24,7.852
PUNJAB,15-19,45.764
RAJASTHAN,15-19,2.884
SIKKIM,15-19,45.798
TAMIL NADU,20-24,4.589
TRIPURA,20-24,8.211
UTTAR PRADESH,20-24,2.443
UTTARAKHAND,20-24,3.095
WEST BENGAL,50-69,4.458
