state/ut,literacy-group,percentage
ANDAMAN & NICOBAR ISLANDS,Graduate and above,55.197
ANDHRA PRADESH,Graduate and above,37.073
ARUNACHAL PRADESH,Graduate and above,71.54
ASSAM,Graduate and above,62.465
BIHAR,Graduate and above,8.557
CHANDIGARH,Graduate and above,69.467
CHHATTISGARH,Graduate and above,10.915
DADRA & NAGAR HAVELI,Graduate and above,51.935
DAMAN & DIU,Graduate and above,54.843
GOA,Graduate and above,80.532
GUJARAT,Graduate and above,68.833
HARYANA,Graduate and above,18.04
HIMACHAL PRADESH,Graduate and above,15.25
JAMMU & KASHMIR,Graduate and above,67.385
JHARKHAND,Graduate and above,20.087
KARNATAKA,Graduate and above,48.937
KERALA,Graduate and above,38.702
LAKSHADWEEP,Graduate and above,67.289
MADHYA PRADESH,Graduate and above,11.19
MAHARASHTRA,Graduate and above,64.799
MANIPUR,Graduate and above,64.664
MEGHALAYA,Graduate and above,46.933
MIZORAM,Graduate and above,24.917
NAGALAND,Graduate and above,70.3
NCT OF DELHI,Graduate and above,23.914
ODISHA,Graduate and above,66.736
PUDUCHERRY,Graduate and above,21.216
PUNJAB,Graduate and above,76.652
RAJASTHAN,Graduate and above,7.958
SIKKIM,Graduate and above,77.333
TAMIL NADU,Graduate and above,14.993
TRIPURA,Graduate and above,33.813
UTTAR PRADESH,Graduate and above,6.647
UTTARAKHAND,Graduate and above,7.243
WEST BENGAL,Graduate and above,24.469
